subject_code,year,session,paper_number,variant,question_number,topic_name
9702,2025,March,2,2,1,"Forces, Density and Pressure"
9702,2025,March,2,2,2,Dynamics
9702,2025,March,2,2,3,Dynamics
9702,2025,March,2,2,4,Waves
9702,2025,March,2,2,5,Waves
9702,2025,March,2,2,6,Electricity
9702,2025,March,2,2,7,Kinematics
9702,2025,March,1,2,1,Dynamics
9702,2025,March,1,2,2,Physical Quantities and Units
9702,2025,March,1,2,3,Dynamics
9702,2025,March,1,2,4,Kinematics
9702,2025,March,1,2,5,Kinematics
9702,2025,March,1,2,6,Dynamics
9702,2025,March,1,2,7,Dynamics
9702,2025,March,1,2,8,Dynamics
9702,2025,March,1,2,9,Dynamics
9702,2025,March,1,2,10,"Forces, Density and Pressure"
9702,2025,March,1,2,11,Dynamics
9702,2025,March,1,2,12,"Forces, Density and Pressure"
9702,2025,March,1,2,13,Dynamics
9702,2025,March,1,2,14,Kinematics
9702,2025,March,1,2,15,Kinematics
9702,2025,March,1,2,16,Dynamics
9702,2025,March,1,2,17,"Work, Energy and Power"
9702,2025,March,1,2,18,"Work, Energy and Power"
9702,2025,March,1,2,19,Dynamics
9702,2025,March,1,2,20,Deformation of Solids
9702,2025,March,1,2,21,Deformation of Solids
9702,2025,March,1,2,22,Waves
9702,2025,March,1,2,23,Physical Quantities and Units
9702,2025,March,1,2,24,Waves
9702,2025,March,1,2,25,Waves
9702,2025,March,1,2,26,Waves
9702,2025,March,1,2,27,Superposition
9702,2025,March,1,2,28,Waves
9702,2025,March,1,2,29,Superposition
9702,2025,March,1,2,30,Electricity
9702,2025,March,1,2,31,Electricity
9702,2025,March,1,2,32,"Work, Energy and Power"
9702,2025,March,1,2,33,Electricity
9702,2025,March,1,2,34,D.C. Circuits
9702,2025,March,1,2,35,Electricity
9702,2025,March,1,2,36,Electricity
9702,2025,March,1,2,37,Particle Physics
9702,2025,March,1,2,38,Kinematics
9702,2025,March,1,2,39,Particle Physics
9702,2025,March,1,2,40,Electricity
9702,2025,March,4,2,1,Kinematics
9702,2025,March,4,2,2,Gravitational Fields
9702,2025,March,4,2,3,Temperature
9702,2025,March,4,2,4,Medical Physics
9702,2025,March,4,2,5,Capacitance
9702,2025,March,4,2,6,Kinematics
9702,2025,March,4,2,7,Magnetic Fields
9702,2025,March,4,2,8,"Work, Energy and Power"
9702,2025,March,4,2,9,Nuclear Physics
9702,2025,March,4,2,10,Astronomy and Cosmology
9702,2025,June,1,2,1,Dynamics
9702,2025,June,1,2,2,Physical Quantities and Units
9702,2025,June,1,2,3,"Forces, Density and Pressure"
9702,2025,June,1,2,4,Oscillations
9702,2025,June,1,2,5,Kinematics
9702,2025,June,1,2,6,Kinematics
9702,2025,June,1,2,7,Dynamics
9702,2025,June,1,2,8,Kinematics
9702,2025,June,1,2,9,Ideal Gases
9702,2025,June,1,2,10,"Work, Energy and Power"
9702,2025,June,1,2,11,Dynamics
9702,2025,June,1,2,12,Kinematics
9702,2025,June,1,2,13,"Work, Energy and Power"
9702,2025,June,1,2,14,Dynamics
9702,2025,June,1,2,15,Dynamics
9702,2025,June,1,2,16,Physical Quantities and Units
9702,2025,June,1,2,17,Kinematics
9702,2025,June,1,2,18,Kinematics
9702,2025,June,1,2,19,Dynamics
9702,2025,June,1,2,20,"Work, Energy and Power"
9702,2025,June,1,2,21,Deformation of Solids
9702,2025,June,1,2,22,Deformation of Solids
9702,2025,June,1,2,23,Deformation of Solids
9702,2025,June,1,2,24,Waves
9702,2025,June,1,2,25,Kinematics
