subject_code,topic_name
9702,Physical Quantities and Units
9702,Kinematics
9702,Dynamics
9702,"Forces, Density and Pressure"
9702,"Work, Energy and Power"
9702,Deformation of Solids
9702,Waves
9702,Superposition
9702,Electricity
9702,D.C. Circuits
9702,Particle Physics
9702,Motion in a Circle
9702,Gravitational Fields
9702,Temperature
9702,Ideal Gases
9702,Thermodynamics
9702,Oscillations
9702,Electric Fields
9702,Capacitance
9702,Magnetic Fields
9702,Alternating Currents
9702,Quantum Physics
9702,Nuclear Physics
9702,Medical Physics
9702,Astronomy and Cosmology
9709,Quadratics
9709,Functions
9709,Coordinate Geometry
9709,Circular Measure
9709,Trigonometry
9709,Series
9709,Differentiation
9709,Integration
9709,Algebra
9709,Logarithmic and Exponential Functions
9709,Numerical Solutions of Equations
9709,Vectors
9709,Differential Equations
9709,Complex Numbers
9709,Representation of Data
9709,Permutations and Combinations
9709,Probability
9709,Discrete Random Variables
9709,The Normal Distribution
